overfitting,correct,Q to ask
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/ACS/Lang/patch1-Lang-39-ACS-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/39.src.patch,is it fixed by returning ‘cbc’ under cetain conditions?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/ACS/Math/patch1-Math-73-ACS-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/73.src.patch,is it fixed by adding a check on ‘initial’ var?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/ACS/Math/patch1-Math-97-ACS-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/97.src.patch,is it fixed by adding a check on ‘sign’ against a literal ‘0.546842’?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/ACS/Math/patch1-Math-28-ACS-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/28.src.patch,is it fixed by doing nothing when minRatioPositions.size() > 1
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/ACS/Math/patch1-Math-81-ACS-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/81.src.patch,is it fixed by doing nothing when end – start > 2
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Lang/patch1-Lang-39-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/39.src.patch,is it fixed by skipping the loop
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Lang/patch1-Lang-44-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/44.src.patch,is it fixed by executing even if dec or exp is not null
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Lang/patch1-Lang-51-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/51.src.patch,is it fixed by executing even if first char is not `y`
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Lang/patch1-Lang-58-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/58.src.patch,is it fixed by executing even if dec or exp is not null
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-63-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/63.src.patch,is it fixed by checking NaN against infinity?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-73-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/73.src.patch,"is it fixed by replacing initial with solve(initial, initial)"
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-2-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/2.src.patch,is it fixed by executing only if tmp is larger than upper
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-80-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/80.src.patch,is it fixed by running the for loop as long as i>j
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-20-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/20.src.patch,is it fixed by changing the arguments of constructor
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-104-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/104.src.patch,is it fixed by replacing abs with sqrt
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Math/patch1-Math-32-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/32.src.patch,is it fixed by calling getAttribute on .plus()? Or is a null check needed?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Time/patch1-Time-11-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Time/patches/11.src.patch,is it fixed by doing nothing when isVerbose?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Chart/patch1-Chart-17-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/17.src.patch,is it fixed by adding a 0 < start check?
